Periodo;Ano;Mes;Atrativo;Adulto;Meia;Registro_original
2024-08;2024;Ago;Snowland;0.00;0.00;Não
2024-09;2024;Set;Alpen Park;0.00;0.00;Não
2024-09;2024;Set;Bondinhos Aéreos;0.00;0.00;Não
2024-09;2024;Set;Florybal;0.00;0.00;Não
2024-09;2024;Set;Le Jardin;0.00;0.00;Não
2024-09;2024;Set;Mini Mundo;0.00;0.00;Não
2024-09;2024;Set;Olivas de Gramado;0.00;0.00;Não
2024-09;2024;Set;Parque do Caracol;0.00;0.00;Não
2024-09;2024;Set;Pé da Cascata;0.00;0.00;Não
2024-09;2024;Set;Skyglass;0.00;0.00;Não
2024-09;2024;Set;Snowland;0.00;0.00;Não
2024-10;2024;Out;Alpen Park;0.00;0.00;Não
2024-10;2024;Out;Bondinhos Aéreos;0.00;0.00;Não
2024-10;2024;Out;Florybal;0.00;0.00;Não
2024-10;2024;Out;Le Jardin;0.00;0.00;Não
2024-10;2024;Out;Mini Mundo;0.00;0.00;Não
2024-10;2024;Out;Olivas de Gramado;0.00;0.00;Não
2024-10;2024;Out;Parque do Caracol;0.00;0.00;Não
2024-10;2024;Out;Pé da Cascata;0.00;0.00;Não
2024-10;2024;Out;Skyglass;0.00;0.00;Não
2024-10;2024;Out;Snowland;0.00;0.00;Não
2024-11;2024;Nov;Alpen Park;0.00;0.00;Não
2024-11;2024;Nov;Bondinhos Aéreos;0.00;0.00;Não
2024-11;2024;Nov;Florybal;0.00;0.00;Não
2024-11;2024;Nov;Le Jardin;0.00;0.00;Não
2024-11;2024;Nov;Mini Mundo;0.00;0.00;Não
2024-11;2024;Nov;Olivas de Gramado;0.00;0.00;Não
2024-11;2024;Nov;Parque do Caracol;0.00;0.00;Não
2024-11;2024;Nov;Pé da Cascata;0.00;0.00;Não
2024-11;2024;Nov;Skyglass;0.00;0.00;Não
2024-11;2024;Nov;Snowland;0.00;0.00;Não
2024-12;2024;Dez;Alpen Park;0.00;0.00;Não
2024-12;2024;Dez;Bondinhos Aéreos;0.00;0.00;Não
2024-12;2024;Dez;Florybal;0.00;0.00;Não
2024-12;2024;Dez;Le Jardin;0.00;0.00;Não
